Item,Quantity
Seeed XIAO RP2040,1
Through-hole 1N4148 Diode,16
MX-Style switch,16
0.91 inch OLED display,1
Blank DSA keycap,16
SK6812 MINI-E LED,4
M3x16mm screws,4
M3x5mx4mm heatset inserts,4
